size2,size3,size4,size5
207.411863,499.738014,405.375687,542.909665
376.566487,424.14603,509.418597,672.675795
207.411864,499.738016,509.418595,635.563912
376.566484,343.787477,509.418597,523.382836
311.454769,483.561877,621.095854,556.688038
376.566486,420.707362,613.266729,635.680976
206.2535,495.731988,526.643343,727.605056
376.566483,514.100461,404.217325,642.946552
376.566487,534.908565,612.925966,656.400607
325.817221,365.75394,514.860613,649.926357
376.566485,499.738011,500.320365,459.977257
376.566484,469.796848,323.786212,722.178558
376.566484,379.668374,514.860613,423.345945
307.448749,395.695106,451.455038,750.530604
376.566483,534.908562,658.080094,521.968521
305.81798,344.94584,413.665359,737.306939
325.817221,494.101224,518.86663,777.245596
376.566485,335.497805,509.418595,795.614066
207.411864,356.305905,618.903514,638.032141
311.45477,377.148839,612.996628,729.964004
376.566484,534.90856,551.972495,621.318527
376.566489,432.806988,500.472724,452.711681
376.566484,514.100463,518.866632,482.128289
311.45477,365.75394,500.320368,573.918143
311.454771,495.73199,658.080089,673.202694
376.566486,534.908564,517.708269,632.054584
376.566485,329.425026,518.866632,616.027854
301.541857,499.738011,608.919943,691.571157
307.44875,363.689249,517.708269,528.547217
376.566488,395.695103,613.266731,555.194955
301.471197,514.100461,442.487573,744.267387
376.566483,494.101223,518.86663,609.835291
190.934101,495.731994,518.866629,683.146014
376.566487,395.695102,616.603641,609.797112
376.566484,514.100463,654.074068,638.579916
311.454771,499.738015,605.538792,739.775169
325.81722,424.983489,633.26597,446.186352
376.566485,321.135352,618.903518,718.861949
311.454769,534.908561,618.903524,656.400609
309.154888,424.642725,620.609656,521.752064
206.2535,534.908558,404.217325,637.039662
376.566481,483.561878,627.288415,621.856007
376.566485,420.707361,617.272751,732.091472
207.411863,321.135354,211.096106,622.005409
376.566488,432.806988,612.429268,532.830871
376.566486,499.738011,602.727385,520.660758
207.411861,344.945841,612.429268,758.143634
207.411862,499.738015,652.443299,638.032138
307.448752,395.695102,637.271987,779.437929
311.45477,424.983489,413.665362,636.873774
311.45477,499.738014,513.702245,732.162131
325.817218,497.438133,535.490916,714.791385
376.566484,514.10046,323.786212,627.941432
346.625319,210.513752,601.096619,454.556925
376.566487,493.263768,633.265971,656.400602
376.566489,514.100464,518.866631,416.080373
376.566485,499.738007,610.696747,579.540979
311.454769,493.263766,654.074069,665.231105
376.566484,448.988748,555.978512,677.208707
301.541853,379.668377,533.229081,528.547213
325.81722,499.738012,518.866633,739.775161
376.566489,495.731995,413.665363,656.400609
376.566489,495.731993,620.609659,551.199338
197.963827,321.135352,602.72738,423.345942
376.566486,514.100461,503.287913,743.985696
191.385133,499.738012,551.97249,639.738275
294.219225,489.75444,616.603641,636.873776
346.62532,225.382119,554.789524,638.032143
346.625321,495.731991,602.727387,657.175962
207.411861,494.101223,517.708268,683.146014
376.566488,379.668376,608.919946,628.584106
376.566486,493.263762,517.708271,632.395349
304.980523,499.738016,590.668494,638.032133
376.566488,534.908564,617.272748,761.069461
376.566486,395.695104,617.272751,736.438258
325.81722,328.91911,654.074072,749.963245
376.566489,497.438133,558.268345,628.119226
325.817222,225.382117,654.074073,519.448989
301.471196,514.100464,413.665358,521.968517
376.566486,495.731991,605.538789,732.091475
311.454771,395.695107,514.860609,726.410435
307.448748,482.367259,501.631085,625.862026
376.566486,483.561881,613.266729,639.738281
311.45477,499.738012,608.990604,632.125242
376.566489,495.731992,532.070722,563.717769
376.566488,395.695102,509.418594,739.775164
305.81798,499.73801,514.860612,756.437499
376.566482,386.247071,627.288414,795.614063
294.219225,495.731992,513.229837,667.760671
376.566483,494.101225,451.455035,638.032141
307.448753,208.904357,523.781045,639.738278
376.56649,395.695104,537.323573,670.413555
325.817219,432.326416,618.903516,552.554851
325.817221,514.100465,458.669331,733.868272
311.45477,386.24707,562.274366,735.600801
376.566486,386.247068,610.626085,677.208711
376.566483,494.101221,333.685276,771.338702
376.566482,499.738013,612.996628,602.113421
376.566486,493.263766,479.477432,733.797617
376.566484,495.731997,602.727384,630.290246
376.566485,330.583388,235.062703,469.425293
376.566487,489.825099,514.860609,521.517488
307.44875,344.94584,590.668494,676.050345
376.566486,514.100466,513.229841,756.4375
376.566486,439.102838,617.272751,625.862029
376.566488,217.092446,554.037185,639.738276
376.566485,495.731992,452.090637,526.923973
295.278638,329.425027,554.789523,777.245599
311.45477,499.738016,654.074066,736.438261
207.411864,495.731994,554.03718,638.032138
307.448745,483.561879,532.333203,671.571922
346.62532,361.221023,427.744613,735.600797
376.566488,432.326418,620.609657,572.007439
376.566486,514.100464,654.074069,778.95174
311.454768,499.738014,607.359839,626.115877
207.411862,497.438133,501.631087,401.447852
376.566486,330.583391,538.010452,581.402989
376.566486,499.738014,618.903523,470.532374
376.566486,534.908562,637.271987,638.03214
376.566483,432.326418,503.287918,738.144399
376.566486,321.135354,503.287918,735.600798
346.625322,448.988747,603.238909,735.600795
376.566483,495.731993,641.903952,635.243004
376.566484,424.983488,620.60966,651.236225
376.566485,482.367261,513.229842,771.268043
376.566482,432.326418,451.455034,515.043238
376.566485,534.908561,551.972497,340.846328
301.541856,432.326418,517.708272,498.606049
311.454771,395.695101,537.559419,739.775167
207.411861,495.731993,620.609657,718.316565
376.566488,534.90856,537.40464,775.614826
307.448749,448.988747,562.274369,570.442748
305.817982,534.908561,617.272751,667.977478
206.2535,432.326416,613.266732,756.437493
376.566486,499.738012,518.866629,726.410437
304.980519,499.738014,602.727389,791.608047
294.084019,395.695106,501.631087,638.03214
376.566485,379.668373,405.375686,628.584101
311.454771,207.994217,614.135412,729.964006
307.44875,386.24707,398.796996,739.775166
311.454769,395.695103,617.272752,768.968165
376.566484,499.738013,569.860393,754.137614
311.454769,534.908564,608.99061,512.9685
311.45477,499.738014,554.037184,744.267382
325.817221,432.326416,518.866629,756.437496
207.411863,499.738014,512.071478,670.375913
190.698253,489.75444,494.862772,517.962498
311.454771,395.695106,514.860614,593.319352
307.448748,313.86978,496.314347,646.952573
376.566484,210.06272,502.38887,722.404414
301.541856,330.583389,551.972495,667.760675
307.448749,495.731995,601.09662,730.531366
376.566485,314.55666,631.635196,528.547216
307.448749,495.731991,637.271991,743.207973
376.566486,420.707364,620.609659,743.072767
376.566483,495.731994,502.839902,767.332685
376.566485,499.738014,554.037184,777.245594
307.448752,379.668377,398.345959,669.269763
376.566488,499.738011,558.26835,756.437497
206.2535,395.695107,498.147002,719.424664
376.566483,329.425027,607.359835,615.53116
